"Name","Firm","Price","Strength","Count","unit_price","Year","Area","Drug_ID","Firm_ID"
"盐酸法舒地尔注射液","天津红日药业股份有限公司",15.48,"2ml:30mg",3,5.16,2021,"云南省、北京市、吉林省、江西省、河南省、浙江省、贵州省",192,267
"盐酸乐卡地平片","安徽宏业药业有限公司",36.23,"10mg",14,2.58785714285714,2021,"上海市、云南省、吉林省、四川省、山东省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江苏省、江西省、浙江省、湖南省、西藏自治区、贵州省、辽宁省、陕西省",162,286
"盐酸乐卡地平片","深圳信立泰药业股份有限公司",33.44,"10mg",14,2.38857142857143,2021,"内蒙古自治区、北京市、天津市、宁夏回族自治区、安徽省、山西省、广东省、河北省、河南省、海南省、湖北省、甘肃省、福建省、重庆市、青海省、黑龙江省",162,566
"盐酸罗哌卡因注射液","江苏恒瑞医药股份有限公司",41.9,"10ml:100mg",5,8.38,2021,"上海市、广西壮族自治区、河北省、西藏自治区、黑龙江省",197,442
"盐酸罗哌卡因注射液","瑞阳制药股份有限公司",58.58,"10ml:100mg",10,5.858,2021,"四川省、新疆生产建设兵团、新疆维吾尔自治区、福建省、陕西省、青海省",197,616
"盐酸罗哌卡因注射液","浙江仙琚制药股份有限公司",9.96,"10ml:75mg",2,4.98,2021,"宁夏回族自治区、江苏省、江西省、甘肃省、贵州省",197,494
"盐酸罗哌卡因注射液","齐鲁制药有限公司",25,"10ml:100mg",5,5,2021,"吉林省、山西省、浙江省、湖南省、辽宁省",197,712
"盐酸罗哌卡因注射液","广东嘉博制药有限公司",19.04,"10ml:100mg",5,3.808,2021,"北京市、天津市、广东省、河南省、湖北省、重庆市",197,338
"盐酸罗哌卡因注射液","石家庄四药有限公司",274.5,"10ml:100mg",50,5.49,2021,"云南省、内蒙古自治区、安徽省、山东省、海南省",197,618
"盐酸文拉法辛缓释胶囊","海南合瑞制药股份有限公司",16.69,"75mg",7,2.38428571428571,2021,"上海市、宁夏回族自治区、广西壮族自治区、江苏省、江西省、河南省、湖北省、贵州省、陕西省",179,539
"盐酸文拉法辛缓释胶囊","北京福元医药股份有限公司",35.8,"75mg",14,2.55714285714286,2021,"内蒙古自治区、山东省、浙江省、海南省、福建省、重庆市、黑龙江省",179,163
"盐酸文拉法辛缓释片","国药集团国瑞药业有限公司",68.36,"75mg",30,2.27866666666667,2021,"云南省、北京市、吉林省、天津市、安徽省、广东省、河北省、西藏自治区",178,243
"盐酸文拉法辛缓释片","成都康弘药业集团股份有限公司",71.05,"75mg",28,2.5375,2021,"四川省、山西省、新疆生产建设兵团、新疆维吾尔自治区、湖南省、甘肃省、辽宁省、青海省",178,375
"脂肪乳氨基酸（17）葡萄糖（11%）注射液","辽宁海思科制药有限公司",306.8,"1440ml",4,76.7,2021,"云南省、北京市、天津市、广东省、江西省、河北省、海南省、甘肃省、福建省、西藏自治区",231,667
"脂肪乳氨基酸（17）葡萄糖（11%）注射液","费森尤斯卡比华瑞制药有限公司",275.6,"1440ml",4,68.9,2021,"上海市、宁夏回族自治区、安徽省、山东省、山西省、广西壮族自治区、河南省、浙江省、贵州省、辽宁省、黑龙江省",231,659
"脂肪乳氨基酸（17）葡萄糖（11%）注射液","四川科伦药业股份有限公司",299.12,"1440ml",4,74.78,2021,"内蒙古自治区、吉林省、四川省、新疆生产建设兵团、新疆维吾尔自治区、江苏省、湖北省、湖南省、重庆市、陕西省、青海省",231,236
"注射用阿奇霉素","石药集团欧意药业有限公司",144,"0.5g",10,14.4,2021,"云南省、山西省、广西壮族自治区、福建省、青海省",148,622
"注射用阿奇霉素","舒美奇成都生物科技有限公司（成都通德药业有限公司受托生产）",73.6,"0.5g",10,7.36,2021,"山东省、江西省、河南省、湖北省、贵州省、黑龙江省",148,635
"注射用阿奇霉素","海南普利制药股份有限公司",188.58,"0.5g",10,18.858,2021,"内蒙古自治区、宁夏回族自治区、广东省、新疆生产建设兵团、新疆维吾尔自治区、湖南省",148,544
"注射用阿奇霉素","海南倍特药业有限公司",137.6,"0.5g",10,13.76,2021,"上海市、四川省、浙江省、海南省、重庆市",148,531
"注射用阿奇霉素","海南海灵化学制药有限公司",20.21,"0.5g",1,20.21,2021,"北京市、吉林省、安徽省、西藏自治区、陕西省",148,546
"注射用阿奇霉素","国药集团国瑞药业有限公司",120,"0.5g",10,12,2021,"天津市、江苏省、河北省、甘肃省、辽宁省",148,243
"注射用艾司奥美拉唑钠","山东裕欣药业有限公司",27.9,"40mg",10,2.79,2021,"江苏省、浙江省、甘肃省、辽宁省",147,312
"注射用艾司奥美拉唑钠","重庆莱美药业股份有限公司",44.3,"40mg",10,4.43,2021,"上海市、北京市、吉林省",147,688
"注射用艾司奥美拉唑钠","扬子江药业集团有限公司",25.8,"40mg",6,4.3,2021,"新疆生产建设兵团、新疆维吾尔自治区、湖北省、贵州省",147,390
"注射用艾司奥美拉唑钠","海南倍特药业有限公司",29.7,"40mg",10,2.97,2021,"山西省、广东省、江西省",147,531
"注射用艾司奥美拉唑钠","苏州特瑞药业有限公司（苏州二叶制药有限公司受托生产）",34.7,"40mg",10,3.47,2021,"河北省、河南省、海南省",147,644
"注射用艾司奥美拉唑钠","福安药业集团湖北人民制药有限公司",91.4,"40mg",10,9.14,2021,"云南省、安徽省、西藏自治区",147,626
"注射用艾司奥美拉唑钠","正大天晴药业集团股份有限公司",6.35,"40mg",1,6.35,2021,"内蒙古自治区、天津市、湖南省",147,413
"注射用艾司奥美拉唑钠","江苏奥赛康药业有限公司",37,"40mg",10,3.7,2021,"山东省、陕西省、黑龙江省",147,436
"注射用艾司奥美拉唑钠","辽宁海思科制药有限公司",30.8,"40mg",4,7.7,2021,"福建省、重庆市、青海省",147,667
"注射用艾司奥美拉唑钠","海南中玉药业有限公司",48.9,"40mg",10,4.89,2021,"四川省、宁夏回族自治区、广西壮族自治区",147,530
"注射用奥沙利铂","Sanofi-AventisFrance（CENEXI-LaboratoiresTHISSENS.A.）（赛诺菲（杭州）制药有限公司分包装）",310.51,"50mg",1,310.51,2021,"上海市、云南省、吉林省、江西省、河北省、海南省、湖北省",137,52
"注射用更昔洛韦","武汉普生制药有限公司",122,"0.25g",10,12.2,2021,"上海市、四川省、天津市、广东省、广西壮族自治区、江苏省、浙江省、湖北省、湖南省、福建省、青海省",139,421
"注射用更昔洛韦","湖北科益药业股份有限公司",203,"0.25g",10,20.3,2021,"内蒙古自治区、北京市、吉林省、宁夏回族自治区、安徽省、山东省、山西省、江西省、河南省、贵州省",139,584
"注射用更昔洛韦","扬子江药业集团有限公司",156,"0.25g",6,26,2021,"云南省、新疆生产建设兵团、新疆维吾尔自治区、河北省、海南省、甘肃省、西藏自治区、辽宁省、重庆市、陕西省、黑龙江省",139,390
"注射用兰索拉唑","山东裕欣药业有限公司",29.7,"30mg",10,2.97,2021,"吉林省、天津市、山东省、广东省、河北省、湖北省、西藏自治区、辽宁省、陕西省",129,312
