"","Name","Firm","Price","Volume","Count","unit_price","Year"
"378","铝碳酸镁咀嚼片","南通久和药业有限公司",8.23,"0.5g",20,0.4115,2015
"379","铝碳酸镁咀嚼片","遂成药业股份有限公司",10.1,"0.5g",24,0.420833333333333,2015
"380","铝碳酸镁咀嚼片","浙江昂利康制药有限公司",11.74,"0.5g",30,0.391333333333333,2015
"381","铝碳酸镁咀嚼片","浙江得恩德制药有限公司",9.51,"0.5g",20,0.4755,2015
"382","铝碳酸镁咀嚼片","浙江杭康药业有限公司",9.88,"0.5g",20,0.494,2015
"383","硫酸氢氯吡格雷片","乐普药业股份有限公司",52.15,"75mg",7,7.45,2015
"384","硫酸氢氯吡格雷片","乐普药业股份有限公司",73.53,"75mg",10,7.353,2015
"385","硫酸氢氯吡格雷片","乐普药业股份有限公司",33.3,"25mg",10,3.33,2015
"386","硫酸氢氯吡格雷片","乐普药业股份有限公司",64.94,"25mg",20,3.247,2015
"387","硫酸氢氯吡格雷片","深圳信立泰药业股份有限公司",65.3,"75mg",7,9.32857142857143,2015
"388","硫酸氢氯吡格雷片","深圳信立泰药业股份有限公司",39.48,"25mg",10,3.948,2015
"389","硫酸氢氯吡格雷片","深圳信立泰药业股份有限公司",77,"25mg",20,3.85,2015
"390","氯沙坦钾片","Lek Pharmaceuticals d.d（山德士（中国）制药有限公司分装）",27.16,"50mg",7,3.88,2015
"391","氯沙坦钾片","北京双吉制药有限公司",24.56,"50mg",7,3.50857142857143,2015
"392","氯沙坦钾片","扬子江药业集团四川海蓉药业有限公司",29.74,"50mg",7,4.24857142857143,2015
"393","氯沙坦钾片","扬子江药业集团四川海蓉药业有限公司",50.56,"100mg",7,7.22285714285714,2015
"394","氯沙坦钾片","浙江华海药业股份有限公司",50.43,"100mg",7,7.20428571428571,2015
"395","氯沙坦钾片","重庆科瑞制药（集团）有限公司",47.9,"50mg",14,3.42142857142857,2015
"396","氯沙坦钾片","重庆科瑞制药（集团）有限公司",24.56,"50mg",7,3.50857142857143,2015
"397","蒙脱石散","北京万辉双鹤药业有限责任公司",10.49,"3g",10,1.049,2015
"398","蒙脱石散","博福-益普生（天津）制药有限公司",19.68,"3g",10,1.968,2015
"399","蒙脱石散","杭州康恩贝制药有限公司",12.59,"3g",12,1.04916666666667,2015
"400","蒙脱石散","杭州康恩贝制药有限公司",10.56,"3g",10,1.056,2015
"401","蒙脱石散","黑龙江福和华星制药集团股份有限公司",7.87,"3g",10,0.787,2015
"402","蒙脱石散","湖南华纳大药厂有限公司",11.63,"3g",15,0.775333333333333,2015
"403","蒙脱石散","湖南千金湘江药业股份有限公司",15.34,"3g",20,0.767,2015
"404","蒙脱石散","江苏万高药业有限公司",12.16,"3g",12,1.01333333333333,2015
"405","蒙脱石散","南京易亨制药有限公司",9.14,"3g",10,0.914,2015
"406","蒙脱石散","山东绿叶制药有限公司",9.62,"3g",10,0.962,2015
"407","蒙脱石散","山东仙河药业有限公司",11,"3g",12,0.916666666666667,2015
"408","蒙脱石散","四川维奥制药有限公司",7.87,"3g",10,0.787,2015
"409","蒙脱石散","先声药业有限公司",9.39,"3g",10,0.939,2015
"410","蒙脱石散","扬子江药业集团有限公司",11.04,"3g",10,1.104,2015
"411","蒙脱石散","浙江海力生制药有限公司",11,"3g",10,1.1,2015
"412","蒙脱石散","浙江海力生制药有限公司",13.2,"3g",12,1.1,2015
"413","孟鲁司特钠片","鲁南贝特制药有限公司",36.58,"10mg",6,6.09666666666667,2015
"414","孟鲁司特钠片","四川大冢制药有限公司",30.79,"10mg",5,6.158,2015
"415","孟鲁司特钠片","四川大冢制药有限公司",42.58,"10mg",7,6.08285714285714,2015
"416","米索前列醇片","浙江仙琚制药股份有限公司",5.36,"0.2mg",3,1.78666666666667,2015
"417","枸橼酸莫沙必利片","鲁南贝特制药有限公司",21.91,"5mg",24,0.912916666666667,2015
"418","枸橼酸莫沙必利片","鲁南贝特制药有限公司",32.39,"5mg",36,0.899722222222222,2015
"419","枸橼酸莫沙必利片","亚宝药业集团股份有限公司",17.16,"5mg",24,0.715,2015
"420","枸橼酸莫沙必利片","亚宝药业集团股份有限公司",25.37,"5mg",36,0.704722222222222,2015
"421","那格列奈片","杭州康恩贝制药有限公司",27,"30mg",54,0.5,2015
"422","那格列奈片","杭州康恩贝制药有限公司",35.63,"30mg",72,0.494861111111111,2015
"423","那格列奈片","杭州康恩贝制药有限公司",18.27,"30mg",36,0.5075,2015
