Name,Firm,Price,Volume,Count
氨甲环酸注射液,山西普德药业股份有限公司,5.68,0.2g,1
氨甲环酸注射液,山西普德药业股份有限公司,11.11,0.5g,1
氨甲环酸注射液,上海信谊金朱药业有限公司,3.77,0.25g,1
氨甲环酸注射液,天津金耀集团湖北天药药业股份有限公司,18.04,1g,1
氨甲环酸注射液,扬子江药业集团南京海陵药业有限公司,11.91,0.5g,1
氨甲环酸注射液,重庆莱美药业股份有限公司,5.04,0.25g,1
氨甲环酸注射液,重庆莱美药业股份有限公司,9.68,0.5g,1
注射用氨甲环酸,广西梧州制药（集团）股份有限公司,16,0.5g,1
注射用氨甲环酸,瑞阳制药有限公司,9.5,0.25g,1
注射用氨甲环酸,瑞阳制药有限公司,16.52,0.5g,1
注射用氨甲环酸,浙江金华康恩贝生物制药有限公司,13.91,0.4g,1
氨咖黄敏胶囊,广西亿康药业股份有限公司,1.51,0.276g,10
氨咖黄敏胶囊,吉林敖东药业集团延吉股份有限公司,4.79,0.276g,20
氨咖黄敏胶囊,上海世康特制药有限公司,3.72,0.276g,24
氨咖黄敏胶囊,武汉东信医药科技有限责任公司,0.75,0.276g,10
氨咖黄敏胶囊,浙江迪耳药业有限公司,3.04,0.276g,12
氨咖黄敏片,深圳海王药业有限公司,1.2,0.276g,12
氨咖愈敏溶液,贵州泛德制药有限公司,17.63,150ml,1
氨咖愈敏溶液,贵州泛德制药有限公司,12.1,100ml,1
氨力农注射液,扬州中宝制药有限公司,58.39,50mg,1
注射用氨力农,齐鲁制药有限公司,61.69,50mg,1
苯磺酸氨氯地平胶囊,丽珠集团丽珠制药厂,40.4,5mg,28
苯磺酸氨氯地平片,Lek Pharmaceuticals d.d（山德士（中国）制药有限公司分装）,6.93,5mg,7
苯磺酸氨氯地平片,北京红林制药有限公司,12.92,5mg,14
苯磺酸氨氯地平片,北京红林制药有限公司,19.09,5mg,21
苯磺酸氨氯地平片,北京红林制药有限公司,25.19,5mg,28
苯磺酸氨氯地平片,北京红林制药有限公司,6.63,5mg,7
苯磺酸氨氯地平片,北京益民药业有限公司,8.35,5mg,14
苯磺酸氨氯地平片,辰欣药业股份有限公司,13.57,5mg,14
苯磺酸氨氯地平片,辰欣药业股份有限公司,6.96,5mg,7
苯磺酸氨氯地平片,广州白云山制药股份有限公司广州白云山制药总厂,13.57,5mg,14
苯磺酸氨氯地平片,国药集团容生制药有限公司,8.35,5mg,14
苯磺酸氨氯地平片,湖北恒安药业有限公司,12.98,5mg,14
苯磺酸氨氯地平片,吉林省集安益盛药业股份有限公司,44.17,5mg,40
苯磺酸氨氯地平片,吉林省集安益盛药业股份有限公司,65.22,5mg,60
苯磺酸氨氯地平片,江苏黄河药业股份有限公司,4.28,5mg,7
苯磺酸氨氯地平片,江苏黄河药业股份有限公司,8.35,5mg,14
苯磺酸氨氯地平片,江苏康缘药业股份有限公司,4.28,5mg,7
苯磺酸氨氯地平片,江苏亚邦爱普森药业有限公司,8.23,5mg,7
苯磺酸氨氯地平片,江苏亚邦爱普森药业有限公司,11.6,5mg,10
苯磺酸氨氯地平片,江苏亚邦爱普森药业有限公司,16.04,5mg,14
苯磺酸氨氯地平片,江苏亚邦爱普森药业有限公司,38.78,5mg,35
苯磺酸氨氯地平片,江西汇仁药业有限公司,8.35,5mg,14
苯磺酸氨氯地平片,辽宁康博士制药有限公司,56.7,5mg,60
苯磺酸氨氯地平片,宁波大红鹰药业股份有限公司,9.88,5mg,7
苯磺酸氨氯地平片,山东方明药业集团股份有限公司,6.96,5mg,7
