"Name","Firm","Price","Strength","Count","unit_price","Year","Area","Drug_ID","Firm_ID","is_treated","first_treat_year"
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2023,"安徽",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2023,"浙江",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2023,"上海",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2024,"浙江",2,NA,1,2021
"伏立康唑片","成都华神集团股份有限公司制药厂","84.9","0.25g","8",6.90875,2015,"安徽",9,370,0,2021
"伏立康唑片","成都华神科技集团股份有限公司制药厂","73.54","50mg","2",36.77,2016,"广东",9,NA,0,2021
"伏立康唑片","Pfizer Italia S.r.l.","3767","200mg","10",376.7,2016,"广东",9,NA,0,2021
"伏立康唑片","成都华神科技集团股份有限公司制药厂","92.4","50mg","2",46.2,2016,"广东",9,NA,0,2021
"伏立康唑片","Pfizer Italia S.r.l.","3767","200mg","10",376.7,2016,"广东",9,NA,0,2021
"伏立康唑片","北京博康健基因科技有限公司","462.1","50mg","10",46.21,2016,"广东",9,149,0,2021
"伏立康唑片","Pfizer Italia S.r.l.","3767","200mg","10",376.7,2016,"广东",9,NA,0,2021
"伏立康唑片","成都华神科技集团股份有限公司制药厂","200.68","50mg","4",50.17,2016,"上海",9,NA,0,2021
"伏立康唑片","Pfizer Italia S.r.l.","3826.95","200mg","10",382.7,2016,"上海",9,NA,0,2021
"伏立康唑片","成都华神科技集团股份有限公司制药厂","92.4","50mg","2",46.2,2016,"广东",9,NA,0,2021
"伏立康唑片","Pfizer Italia S.r.l.","3767","200mg","10",376.7,2016,"广东",9,NA,0,2021
"伏立康唑片","成都华神科技集团股份有限公司制药厂","92.4","50mg","2",46.2,2016,"广东",9,NA,0,2021
"伏立康唑片","Pfizer Italia S.r.l.","3767","200mg","10",376.7,2016,"广东",9,NA,0,2021
"伏立康唑片","成都华神科技集团股份有限公司制药厂","92.4","50mg","2",46.2,2016,"广东",9,NA,0,2021
"伏立康唑片","Pfizer Italia S.r.l.","3767","200mg","10",376.7,2016,"广东",9,NA,0,2021
"伏立康唑片","成都华神科技集团股份有限公司制药厂","92.4","50mg","2",46.2,2016,"广东",9,NA,0,2021
"伏立康唑片","Pfizer Italia S.r.l.","3767","200mg","10",376.7,2016,"广东",9,NA,0,2021
"伏立康唑片","北京博康健基因科技有限公司","462.1","50mg","10",46.21,2016,"广东",9,149,0,2021
"伏立康唑片","Pfizer Italia S.r.l.","3767","200mg","10",376.7,2016,"广东",9,NA,0,2021
"伏立康唑片","成都华神科技集团股份有限公司制药厂","92.44","50mg","2",46.22,2016,"广东",9,NA,0,2021
"伏立康唑片","Pfizer Italia S.r.l.","3767","200mg","10",376.7,2016,"广东",9,NA,0,2021
"伏立康唑片","北京博康健基因科技有限公司","402.62","50mg","10",40.262,2017,"Shanghai",9,149,0,2021
"伏立康唑片","成都泰合健康科技集团股份有限公司华神制药厂","86.75","50mg","2",43.375,2017,"Shanghai",9,378,0,2021
"伏立康唑片","成都泰合健康科技集团股份有限公司华神制药厂","169.17","50mg","4",42.2925,2017,"Shanghai",9,378,0,2021
"伏立康唑片","成都华神科技集团股份有限公司制药厂","84.9","50mg","2",42.45,2017,"江苏",9,NA,0,2021
"伏立康唑片","Pfizer Italia S.r.l.","3453.87","200mg","10",345.39,2017,"江苏",9,NA,0,2021
"伏立康唑片","成都华神科技集团股份有限公司制药厂","55.56","50mg","2",27.78,2017,"广东",9,NA,0,2021
"伏立康唑片","Pfizer Italia S.r.l.","3386.27","200mg","10",338.63,2018,"上海",9,NA,0,2021
"伏立康唑片","成都华神科技集团股份有限公司制药厂","84.9","50mg","2",42.45,2018,"安徽",9,NA,0,2021
"伏立康唑片","成都华神科技集团股份有限公司制药厂","21.47","50mg","1",21.47,2018,"广东",9,NA,0,2021
"伏立康唑片","Pfizer Italia S.r.l.","32640.01","200mg","10",3264,2018,"广东",9,NA,0,2021
"伏立康唑片","北京博康健基因科技有限公司","27.49","50mg","1",27.49,2018,"广东",9,149,0,2021
"伏立康唑片","北京博康健基因科技有限公司","27.49","50mg","1",27.49,2018,"广东",9,149,0,2021
"伏立康唑片","HEXALAG（SandozPrivateLimited）","1044","200mg","30",34.8,2021,"云南省、吉林省、天津市、宁夏回族自治区、山东省、江苏省、江西省、海南省、湖北省、贵州省",9,32,1,2021
"伏立康唑片","北京博康健基因科技有限公司","119.88","50mg","10",11.988,2021,"北京市、四川省、山西省、广东省、新疆生产建设兵团、新疆维吾尔自治区、浙江省、甘肃省、福建省、重庆市、陕西省、黑龙江省",9,149,1,2021
"伏立康唑片","浙江华海药业股份有限公司","293.8","50mg","10",29.38,2021,"上海市、内蒙古自治区、安徽省、广西壮族自治区、河北省、河南省、湖南省、西藏自治区、辽宁省、青海省",9,499,1,2021
"伏立康唑片","浙江华海药业股份有限公司","293.8","50mg","10",29.38,2021,"安徽",9,499,1,2021
"伏立康唑片","浙江华海药业股份有限公司","849.08","200mg","10",84.91,2021,"安徽",9,499,1,2021
"伏立康唑片","浙江华海药业股份有限公司","293.8","50mg","10",29.38,2021,"安徽",9,499,1,2021
"伏立康唑片","浙江华海药业股份有限公司","849.08","200mg","10",84.91,2021,"安徽",9,499,1,2021
"伏立康唑片","北京博康健基因科技有限公司","119.88","50mg","10",11.988,2021,"北京",9,149,1,2021
"伏立康唑片","Sandoz Private Limited","1044","200mg","30",34.8,2021,"江苏",9,NA,1,2021
"伏立康唑片","北京博康健基因科技有限公司","119.88","50mg","10",11.988,2021,"浙江",9,149,1,2021
"伏立康唑片","浙江华海药业股份有限公司","849.08","200mg","10",84.908,2021,"上海",9,499,1,2021
"伏立康唑片","浙江华海药业股份有限公司","293.8","50mg","10",29.38,2021,"上海",9,499,1,2021
"伏立康唑片","浙江华海药业股份有限公司","849.08","200mg","10",84.908,2021,"安徽",9,499,1,2021
"伏立康唑片","浙江华海药业股份有限公司","293.8","50mg","10",29.38,2021,"安徽",9,499,1,2021
"伏立康唑片","北京博康健基因科技有限公司","119.88","50mg","10",11.988,2021,"广东",9,149,1,2021
"伏立康唑片","北京博康健基因科技有限公司","119.88","50mg","10",11.99,2021,"北京",9,149,1,2021
"伏立康唑片","Sandoz Private Limited","1044","200mg","30",34.8,2021,"江苏",9,NA,1,2021
"伏立康唑片","北京博康健基因科技有限公司","119.88","50mg","10",11.99,2021,"浙江",9,149,1,2021
"伏立康唑片","浙江华海药业股份有限公司","849.08","200mg","10",84.91,2021,"上海",9,499,1,2021
"伏立康唑片","浙江华海药业股份有限公司","849.08","200mg","10",84.91,2021,"安徽",9,499,1,2021
"伏立康唑片","北京博康健基因科技有限公司","119.88","50mg","10",11.99,2021,"广东",9,149,1,2021
"伏立康唑片","北京博康健基因科技有限公司","119.88","50mg","10",11.988,2021,"北京",9,149,1,2021
"伏立康唑片","Sandoz Private Limited","1044","200mg","30",34.8,2021,"江苏",9,NA,1,2021
"伏立康唑片","北京博康健基因科技有限公司","119.88","50mg","10",11.988,2021,"浙江",9,149,1,2021
