"","StockCode","EndDate.x","EndDate.y","ShortName","RDPerson","RDSpendSum","RDSpendSumRatio","RDInvest"
"3466","000790","2018-12-31","1998-12-31","华神集团",131,36396405.93,5.75,0
"3469","000790","2017-12-31","1998-12-31","华神集团",134,37403896.29,6.33,0
"3472","000790","2019-12-31","1998-12-31","华神集团",130,29526081.54,3.96,0
"3475","000790","2022-12-31","1998-12-31","华神集团",138,25176903.59,2.88,0
"3481","000790","2023-12-31","1998-12-31","华神集团",134,31902380.11,3.18,0
"3490","000790","2016-12-31","1998-12-31","华神集团",132,36895979.66,6.41,3058.81
"3677","000813","2019-12-31","2017-12-31","德展健康",135,118569038.9,6.68,0
"3678","000813","2016-12-31","2017-12-31","德展健康",83,51826973.16,3.59,0
"3680","000813","2018-12-31","2017-12-31","德展健康",132,86683891.04,2.63,0
"3682","000813","2020-12-31","2017-12-31","德展健康",220,56046274.64,5.82,0
"3683","000813","2023-12-31","2017-12-31","德展健康",204,51095963.9,10.26,0
"3684","000813","2017-12-31","2017-12-31","德展健康",134,54649653.49,2.46,0
"3685","000813","2021-12-31","2017-12-31","德展健康",201,67056529.28,9.13,0
"3686","000813","2022-12-31","2017-12-31","德展健康",202,51487077.05,9.02,0
"4316","000908","2021-12-31","2015-12-31","景峰医药",220,61945736.12,7.64,26677325.37
"4318","000908","2023-12-31","2015-12-31","景峰医药",158,56476635.55,8.6,36630880.35
"4319","000908","2018-12-31","2015-12-31","景峰医药",521,244131250.17,9.44,95029230.19
"4321","000908","2016-12-31","2015-12-31","景峰医药",421,149699571.04,5.67,36221422.02
"4323","000908","2017-12-31","2015-12-31","景峰医药",490,183801336.27,7.11,90028034.42
"4324","000908","2022-12-31","2015-12-31","景峰医药",170,60804249.95,7.23,27013819.47
"4325","000908","2019-12-31","2015-12-31","景峰医药",552,214976271,15.99,65337054.47
"4327","000908","2020-12-31","2015-12-31","景峰医药",433,214883609.04,24.48,-32461587.11
"4391","000915","2021-12-31","2011-12-31","山大华特",215,82106389.63,4.05,0
"4395","000915","2020-12-31","2011-12-31","山大华特",242,121169786.8,6.65,0
"4397","000915","2022-12-31","2011-12-31","山大华特",97,68624343.19,2.93,0
"4403","000915","2017-12-31","2011-12-31","山大华特",248,50761185.76,2.87,0
"4407","000915","2018-12-31","2011-12-31","山大华特",245,59540540.01,3.9,0
"4409","000915","2016-12-31","2011-12-31","山大华特",236,58786969.22,3.81,0
