"","StockCode","ShortName","IndustryCode","IndustryName","EndDate"
"240","600594","益佰制药","C27","医药制造业","2004-12-31"
"241","600613","永生投资","C27","医药制造业","2012-12-31"
"242","600614","鼎立股份","C27","医药制造业","2012-12-31"
"243","600624","复旦复华","C27","医药制造业","2021-12-31"
"244","600645","中源协和","C27","医药制造业","2023-12-31"
"245","600664","哈医药","C27","医药制造业","1993-12-31"
"246","600666","重庆药业","C27","医药制造业","1993-12-31"
"247","600668","尖峰集团","C27","医药制造业","2013-12-31"
"248","600671","杭州天目","C27","医药制造业","1993-12-31"
"249","600682","南京新百","C27","医药制造业","2023-12-31"
"250","600706","ST 长信","C27","医药制造业","2010-12-31"
"251","600750","东风药业","C27","医药制造业","1996-12-31"
"252","600752","哈慈股份","C27","医药制造业","1996-12-31"
"253","600771","同仁铝业","C27","医药制造业","1996-12-31"
"254","600774","汉商集团","C27","医药制造业","2023-12-31"
"255","600781","民丰实业","C27","医药制造业","1996-12-31"
"256","600789","鲁抗医药","C27","医药制造业","1997-12-31"
"257","600796","钱江生化","C27","医药制造业","1997-12-31"
"258","600807","济南高新","C27","医药制造业","2023-12-31"
"259","600812","河北华药","C27","医药制造业","1994-12-31"
"260","600829","哈天鹅","C27","医药制造业","1994-12-31"
"261","600842","中西药业","C27","医药制造业","1994-12-31"
"262","600849","四药股份","C27","医药制造业","1994-12-31"
"263","600851","海欣股份","C27","医药制造业","2017-12-31"
"264","600867","通化东宝","C27","医药制造业","1994-12-31"
"265","600869","青海三普","C27","医药制造业","1995-12-31"
"266","600976","武汉健民","C27","医药制造业","2004-12-31"
"267","600993","马应龙","C27","医药制造业","2004-12-31"
"268","601089","福元医药","C27","医药制造业","2022-12-31"
"269","601607","上海医药","C27","医药制造业","2010-12-31"
"270","603087","甘李药业","C27","医药制造业","2020-12-31"
"271","603139","康惠制药","C27","医药制造业","2017-12-31"
"272","603168","莎普爱思","C27","医药制造业","2014-12-31"
"273","603222","济民制药","C27","医药制造业","2015-12-31"
"274","603229","奥翔药业","C27","医药制造业","2017-12-31"
"275","603301","振德医疗","C27","医药制造业","2023-12-31"
"276","603351","威尔药业","C27","医药制造业","2019-12-31"
"277","603367","辰欣药业","C27","医药制造业","2017-12-31"
"278","603387","基蛋生物","C27","医药制造业","2017-12-31"
"279","603392","万泰生物","C27","医药制造业","2020-12-31"
"280","603439","贵州三力","C27","医药制造业","2020-12-31"
"281","603456","九洲药业","C27","医药制造业","2014-12-31"
"282","603520","司太立","C27","医药制造业","2016-12-31"
"283","603538","美诺华","C27","医药制造业","2017-12-31"
"284","603566","普莱柯","C27","医药制造业","2015-12-31"
"285","603567","珍宝岛","C27","医药制造业","2015-12-31"
"286","603590","康辰药业","C27","医药制造业","2018-12-31"
"287","603658","安图生物","C27","医药制造业","2016-12-31"
"288","603669","灵康药业","C27","医药制造业","2015-12-31"
"289","603676","卫信康","C27","医药制造业","2017-12-31"
"290","603707","健友股份","C27","医药制造业","2017-12-31"
"291","603718","海利生物","C27","医药制造业","2015-12-31"
"292","603811","诚意药业","C27","医药制造业","2017-12-31"
"293","603858","步长制药","C27","医药制造业","2016-12-31"
"294","603880","南卫股份","C27","医药制造业","2017-12-31"
"295","603896","寿仙谷","C27","医药制造业","2017-12-31"
"296","603963","大理药业","C27","医药制造业","2017-12-31"
"297","603976","正川股份","C27","医药制造业","2017-12-31"
"298","603998","方盛制药","C27","医药制造业","2014-12-31"
"299","605116","奥锐特","C27","医药制造业","2020-12-31"
"300","605177","东亚药业","C27","医药制造业","2020-12-31"
"301","605199","葫芦娃","C27","医药制造业","2020-12-31"
"302","605507","国邦医药","C27","医药制造业","2021-12-31"
"303","688062","迈威生物","C27","医药制造业","2022-12-31"
"304","688067","爱威科技","C27","医药制造业","2023-12-31"
"305","688068","热景生物","C27","医药制造业","2019-12-31"
"306","688075","安旭生物","C27","医药制造业","2021-12-31"
"307","688076","诺泰生物","C27","医药制造业","2021-12-31"
"308","688091","上海谊众","C27","医药制造业","2021-12-31"
"309","688098","申联生物","C27","医药制造业","2019-12-31"
"310","688117","圣诺生物","C27","医药制造业","2021-12-31"
"311","688136","科兴制药","C27","医药制造业","2020-12-31"
"312","688151","华强科技","C27","医药制造业","2023-12-31"
"313","688163","赛伦生物","C27","医药制造业","2022-12-31"
"314","688166","博瑞医药","C27","医药制造业","2019-12-31"
"315","688176","亚虹医药","C27","医药制造业","2022-12-31"
"316","688177","百奥泰","C27","医药制造业","2020-12-31"
"317","688180","君实生物","C27","医药制造业","2020-12-31"
"318","688185","康希诺","C27","医药制造业","2020-12-31"
"319","688189","南新制药","C27","医药制造业","2020-12-31"
"320","688192","迪哲医药","C27","医药制造业","2021-12-31"
"321","688193","仁度生物","C27","医药制造业","2022-12-31"
"322","688197","首药控股","C27","医药制造业","2022-12-31"
"323","688217","睿昂基因","C27","医药制造业","2021-12-31"
"324","688221","前沿生物","C27","医药制造业","2020-12-31"
"325","688235","百济神州","C27","医药制造业","2021-12-31"
"326","688247","宣泰医药","C27","医药制造业","2022-12-31"
"327","688253","英诺特","C27","医药制造业","2022-12-31"
"328","688266","泽璟制药","C27","医药制造业","2020-12-31"
"329","688276","百克生物","C27","医药制造业","2021-12-31"
"330","688278","特宝生物","C27","医药制造业","2020-12-31"
"331","688289","圣湘生物","C27","医药制造业","2020-12-31"
"332","688298","东方生物","C27","医药制造业","2020-12-31"
"333","688302","海创药业","C27","医药制造业","2022-12-31"
"334","688317","之江生物","C27","医药制造业","2021-12-31"
"335","688319","欧林生物","C27","医药制造业","2021-12-31"
"336","688321","微芯生物","C27","医药制造业","2019-12-31"
"337","688331","荣昌生物","C27","医药制造业","2022-12-31"
"338","688336","三生国健","C27","医药制造业","2020-12-31"
"339","688338","赛科希德","C27","医药制造业","2020-12-31"
"340","688363","华熙生物","C27","医药制造业","2019-12-31"
"341","688366","昊海生科","C27","医药制造业","2019-12-31"
"342","688373","盟科药业","C27","医药制造业","2022-12-31"
"343","688382","益方生物","C27","医药制造业","2022-12-31"
"344","688393","安必平","C27","医药制造业","2020-12-31"
"345","688399","硕世生物","C27","医药制造业","2019-12-31"
"346","688426","康为世纪","C27","医药制造业","2022-12-31"
"347","688428","诺诚健华","C27","医药制造业","2022-12-31"
"348","688443","智翔金泰","C27","医药制造业","2023-12-31"
"349","688468","科美诊断","C27","医药制造业","2021-12-31"
"350","688488","艾迪药业","C27","医药制造业","2023-12-31"
"351","688505","复旦张江","C27","医药制造业","2020-12-31"
"352","688506","百利天恒","C27","医药制造业","2023-12-31"
"353","688513","苑东生物","C27","医药制造业","2020-12-31"
"354","688520","神州细胞","C27","医药制造业","2020-12-31"
"355","688526","科前生物","C27","医药制造业","2020-12-31"
"356","688553","汇宇制药","C27","医药制造业","2021-12-31"
"357","688566","吉贝尔","C27","医药制造业","2020-12-31"
"358","688575","亚辉龙","C27","医药制造业","2021-12-31"
"359","688578","艾力斯","C27","医药制造业","2021-12-31"
"360","688606","奥泰生物","C27","医药制造业","2021-12-31"
"361","688656","浩欧博","C27","医药制造业","2021-12-31"
"362","688658","悦康药业","C27","医药制造业","2020-12-31"
"363","688670","金迪克","C27","医药制造业","2021-12-31"
"364","688687","凯因科技","C27","医药制造业","2021-12-31"
"365","688739","成大生物","C27","医药制造业","2021-12-31"
"366","688767","博拓生物","C27","医药制造业","2021-12-31"
"367","688799","华纳药厂","C27","医药制造业","2021-12-31"
"368","830946","森萱医药","C27","医药制造业","2020-12-31"
"369","832566","梓橦宫","C27","医药制造业","2021-12-31"
"370","832735","德源药业","C27","医药制造业","2021-12-31"
"371","832982","锦波生物","C27","医药制造业","2023-12-31"
"372","833230","欧康医药","C27","医药制造业","2022-12-31"
"373","833266","生物谷","C27","医药制造业","2020-12-31"
"374","833575","康乐卫士","C27","医药制造业","2023-12-31"
"375","836433","大唐药业","C27","医药制造业","2020-12-31"
"376","836547","无锡晶海","C27","医药制造业","2023-12-31"
"377","837344","三元基因","C27","医药制造业","2021-12-31"
"378","839729","永顺生物","C27","医药制造业","2020-12-31"
"379","873167","新赣江","C27","医药制造业","2023-12-31"
