"Firm_ID","Firm","Year"
NA,"国药集团致君(深圳)制药有限公司",2016
638,"苏州中化药品工业有限公司",2016
NA,"Glaxo Operations UK Limited",2016
145,"北京京丰制药集团有限公司",2016
366,"成都倍特药业有限公司",2017
248,"国药集团致君（深圳）制药有限公司",2017
638,"苏州中化药品工业有限公司",2017
NA,"国药集团致君(深圳)制药有限公司",2017
622,"石药集团欧意药业有限公司",2017
367,"成都倍特药业股份有限公司",2017
NA,"Glaxo Operations UK Limited",2017
366,"成都倍特药业有限公司",2018
367,"成都倍特药业股份有限公司",2018
NA,"国药集团致君(深圳)制药有限公司",2018
170,"华北制药河北华民药业有限责任公司",2018
NA,"Glaxo Operations UK Limited",2018
248,"国药集团致君（深圳）制药有限公司",2019
349,"广州白云山天心制药股份有限公司",2019
493,"浙江京新药业股份有限公司",2019
NA,"国药集团致君(深圳)制药有限公司",2019
NA,"Glaxo Operations UK Limited",2019
367,"成都倍特药业股份有限公司",2019
613,"珠海联邦制药股份有限公司中山分公司",2020
367,"成都倍特药业股份有限公司",2020
NA,"国药集团致君(深圳)制药有限公司",2020
457,"江苏豪森药业集团有限公司",2015
258,"天津医药集团津康制药有限公司",2015
506,"浙江巨泰药业有限公司",2015
NA,"Astellas Pharma Inc., Takaoka Plant",2015
NA,"Astellas Pharma Inc.",2015
457,"江苏豪森药业集团有限公司",2016
NA,"Astellas Pharma Inc., Takaoka Plant",2016
506,"浙江巨泰药业有限公司",2016
258,"天津医药集团津康制药有限公司",2016
2,"Astellas Pharma Tech Co.,Ltd. Takaoka
Plant(广州白云山光华制药股份有限公司分包装)",2017
457,"江苏豪森药业集团有限公司",2017
258,"天津医药集团津康制药有限公司",2017
128,"优胜美特制药有限公司",2017
NA,"Astellas Pharma Inc., Takaoka Plant",2017
NA,"Astellas Pharma Inc., Takaoka Plant",2018
