"","StockCode","EndDate.x","StateTypeCode","Area","ApplyTypeCode","ApplyType","Patents","Invention","UtilityModel","ShortName","IndustryCode","IndustryName","EndDate.y"
"3748","000952","2019-12-31","1","1","S5206","截止报告期末累计已授权","26","24","2","广济药业","C27","医药制造业","1999-12-31"
"3750","000952","2023-12-31","1","1","S5206","截止报告期末累计已授权","143","28","115","广济药业","C27","医药制造业","1999-12-31"
"3752","000952","2016-12-31","1","1","S5206","截止报告期末累计已授权","23","21","2","广济药业","C27","医药制造业","1999-12-31"
"3753","000952","2022-12-31","1","1","S5206","截止报告期末累计已授权","90","33","57","广济药业","C27","医药制造业","1999-12-31"
"3754","000952","2021-12-31","1","1","S5206","截止报告期末累计已授权","90","33","57","广济药业","C27","医药制造业","1999-12-31"
"3757","000952","2020-12-31","1","1","S5206","截止报告期末累计已授权","27","25","2","广济药业","C27","医药制造业","1999-12-31"
"3758","000952","2017-12-31","1","1","S5206","截止报告期末累计已授权","25","23","2","广济药业","C27","医药制造业","1999-12-31"
"3764","000952","2018-12-31","1","1","S5206","截止报告期末累计已授权","25","23","2","广济药业","C27","医药制造业","1999-12-31"
"3849","000963","2022-12-31","1","1","S5202","已获得","69","30","35","华东医药","C27","医药制造业","2000-12-31"
"3850","000963","2023-12-31","1","1","S5205","截止报告期末累计已被受理","1428","1136","253","华东医药","C27","医药制造业","2000-12-31"
"3863","000963","2021-12-31","1","1","S5204","截至报告期末累计获得","23",NA,NA,"华东医药","C27","医药制造业","2000-12-31"
"4046","000989","2022-12-31","1","1","S5201","已申请","2",NA,NA,"ST 九芝","C27","医药制造业","2024-12-31"
"4048","000989","2020-12-31","1","1","S5203","已授权","14",NA,NA,"ST 九芝","C27","医药制造业","2024-12-31"
"4054","000989","2021-12-31","1","1","S5203","已授权","10","5",NA,"ST 九芝","C27","医药制造业","2024-12-31"
"4056","000989","2019-12-31","1","1","S5201","已申请","20",NA,NA,"ST 九芝","C27","医药制造业","2024-12-31"
"4060","000989","2018-12-31","1","1","S5203","已授权","22","14","2","ST 九芝","C27","医药制造业","2024-12-31"
"4072","000989","2017-12-31","1","1","S5201","已申请","26","15",NA,"ST 九芝","C27","医药制造业","2024-12-31"
"4090","000989","2016-12-31","1","1","S5201","已申请","16","15",NA,"ST 九芝","C27","医药制造业","2024-12-31"
"4109","000990","2016-12-31","1","2","S5203","已授权","26",NA,NA,"诚志股份","C27","医药制造业","2000-12-31"
"4112","000990","2022-12-31","1","1","S5203","已授权","16",NA,NA,"诚志股份","C27","医药制造业","2000-12-31"
"4113","000990","2017-12-31","1","1","S5202","已获得",NA,"9","7","诚志股份","C27","医药制造业","2000-12-31"
"4161","000999","2021-12-31","1","1","S5203","已授权",NA,"40","42","S 三九","C27","医药制造业","2006-12-31"
"4164","000999","2017-12-31","1","1","S5201","已申请",NA,"32",NA,"S 三九","C27","医药制造业","2006-12-31"
"4167","000999","2016-12-31","1","1","S5201","已申请",NA,"68",NA,"S 三九","C27","医药制造业","2006-12-31"
"4185","000999","2018-12-31","1","1","S5203","已授权",NA,"21","22","S 三九","C27","医药制造业","2006-12-31"
"4188","000999","2020-12-31","1","1","S5202","已获得",NA,"25","47","S 三九","C27","医药制造业","2006-12-31"
"4200","000999","2024-12-31","1","1","S5204","截至报告期末累计获得","1423",NA,NA,"S 三九","C27","医药制造业","2006-12-31"
"4209","000999","2019-12-31","1","1","S5203","已授权",NA,"19","16","S 三九","C27","医药制造业","2006-12-31"
"4215","000999","2023-12-31","1","1","S5203","已授权",NA,"71","64","S 三九","C27","医药制造业","2006-12-31"
"4221","000999","2022-12-31","1","1","S5206","截止报告期末累计已授权",NA,"34","56","S 三九","C27","医药制造业","2006-12-31"
"4387","001367","2023-12-31","1","1","S5204","截至报告期末累计获得","23","21","2","海森药业","C27","医药制造业","2023-12-31"
"4428","002001","2016-12-31","1","1","S5203","已授权","30",NA,NA,"新和成","C27","医药制造业","2011-12-31"
"4430","002001","2020-12-31","1","1","S5203","已授权","102",NA,NA,"新和成","C27","医药制造业","2011-12-31"
"4433","002001","2021-12-31","1","1","S5203","已授权","88",NA,NA,"新和成","C27","医药制造业","2011-12-31"
"4490","002004","2022-12-31","1","2","S5206","截止报告期末累计已授权","3",NA,NA,"华邦制药","C27","医药制造业","2004-12-31"
"4491","002004","2017-12-31","1","1","S5201","已申请",NA,"27",NA,"华邦制药","C27","医药制造业","2004-12-31"
"4495","002004","2023-12-31","1","1","S5204","截至报告期末累计获得","140","91",NA,"华邦制药","C27","医药制造业","2004-12-31"
"4500","002004","2021-12-31","1","1","S5204","截至报告期末累计获得","139","86",NA,"华邦制药","C27","医药制造业","2004-12-31"
"4502","002004","2016-12-31","1","2","S5206","截止报告期末累计已授权","1",NA,NA,"华邦制药","C27","医药制造业","2004-12-31"
"4774","002019","2017-12-31","1","1","S5204","截至报告期末累计获得","63",NA,NA,"鑫富药业","C27","医药制造业","2013-12-31"
"4790","002019","2018-12-31","1","1","S5202","已获得","120",NA,NA,"鑫富药业","C27","医药制造业","2013-12-31"
"4802","002019","2022-12-31","1","2","S5204","截至报告期末累计获得","61",NA,NA,"鑫富药业","C27","医药制造业","2013-12-31"
"4822","002019","2019-12-31","1","1","S5204","截至报告期末累计获得","131",NA,NA,"鑫富药业","C27","医药制造业","2013-12-31"
"4826","002019","2021-12-31","1","2","S5204","截至报告期末累计获得","18",NA,NA,"鑫富药业","C27","医药制造业","2013-12-31"
"4830","002019","2020-12-31","1","2","S5204","截至报告期末累计获得","96",NA,NA,"鑫富药业","C27","医药制造业","2013-12-31"
"4838","002019","2023-12-31","1","2","S5204","截至报告期末累计获得","74",NA,NA,"鑫富药业","C27","医药制造业","2013-12-31"
"4874","002020","2019-12-31","1","1","S5202","已获得",NA,"19",NA,"京新药业","C27","医药制造业","2004-12-31"
"4876","002020","2021-12-31","1","1","S5204","截至报告期末累计获得","166","114","27","京新药业","C27","医药制造业","2004-12-31"
"4879","002020","2023-12-31","1","1","S5204","截至报告期末累计获得","202","137","48","京新药业","C27","医药制造业","2004-12-31"
"4880","002020","2018-12-31","1","1","S5202","已获得","22",NA,NA,"京新药业","C27","医药制造业","2004-12-31"
"4882","002020","2020-12-31","1","2","S5204","截至报告期末累计获得","7","7","0","京新药业","C27","医药制造业","2004-12-31"
"4888","002020","2022-12-31","1","1","S5202","已获得",NA,"15",NA,"京新药业","C27","医药制造业","2004-12-31"
"4896","002020","2017-12-31","1","1","S5203","已授权",NA,"18",NA,"京新药业","C27","医药制造业","2004-12-31"
"4908","002020","2016-12-31","1","1","S5204","截至报告期末累计获得",NA,"47",NA,"京新药业","C27","医药制造业","2004-12-31"
"4959","002022","2021-12-31","1","1","S5202","已获得",NA,NA,"7","科华生物","C27","医药制造业","2004-12-31"
"4967","002022","2016-12-31","1","1","S5206","截止报告期末累计已授权",NA,"3","11","科华生物","C27","医药制造业","2004-12-31"
"5073","002030","2018-12-31","1","1","S5201","已申请",NA,"22",NA,"达安基因","C27","医药制造业","2004-12-31"
"5076","002030","2019-12-31","1","1","S5202","已获得","10","7","2","达安基因","C27","医药制造业","2004-12-31"
"5079","002030","2020-12-31","1","1","S5201","已申请","31","29","1","达安基因","C27","医药制造业","2004-12-31"
"5080","002030","2017-12-31","1","1","S5202","已获得","19","5","14","达安基因","C27","医药制造业","2004-12-31"
"5085","002030","2016-12-31","1","1","S5202","已获得","3","3",NA,"达安基因","C27","医药制造业","2004-12-31"
"5211","002038","2022-12-31","1","2","S5204","截至报告期末累计获得","3",NA,NA,"双鹭药业","C27","医药制造业","2004-12-31"
"5213","002038","2017-12-31","1","2","S5204","截至报告期末累计获得","3",NA,NA,"双鹭药业","C27","医药制造业","2004-12-31"
"5218","002038","2021-12-31","1","1","S5203","已授权",NA,"2",NA,"双鹭药业","C27","医药制造业","2004-12-31"
"5222","002038","2020-12-31","1","1","S5201","已申请",NA,"5",NA,"双鹭药业","C27","医药制造业","2004-12-31"
"5224","002038","2023-12-31","1","2","S5204","截至报告期末累计获得","3",NA,NA,"双鹭药业","C27","医药制造业","2004-12-31"
"6015","002082","2018-12-31","1","1","S5202","已获得",NA,NA,"5","万邦德","C27","医药制造业","2021-12-31"
"6018","002082","2017-12-31","1","1","S5204","截至报告期末累计获得",NA,"2","28","万邦德","C27","医药制造业","2021-12-31"
"6020","002082","2022-12-31","1","1","S5204","截至报告期末累计获得","32","25",NA,"万邦德","C27","医药制造业","2021-12-31"
"6028","002082","2016-12-31","1","1","S5204","截至报告期末累计获得",NA,NA,"15","万邦德","C27","医药制造业","2021-12-31"
"6320","002099","2022-12-31","1","2","S5204","截至报告期末累计获得","4",NA,NA,"海翔药业","C27","医药制造业","2006-12-31"
"6324","002099","2016-12-31","1","1","S5201","已申请",NA,"1",NA,"海翔药业","C27","医药制造业","2006-12-31"
"6325","002099","2023-12-31","1","1","S5201","已申请","6",NA,NA,"海翔药业","C27","医药制造业","2006-12-31"
"6326","002099","2020-12-31","1","1","S5203","已授权","8",NA,NA,"海翔药业","C27","医药制造业","2006-12-31"
"6327","002099","2021-12-31","1","1","S5204","截至报告期末累计获得",NA,"62",NA,"海翔药业","C27","医药制造业","2006-12-31"
"6328","002099","2019-12-31","1","1","S5201","已申请",NA,"3",NA,"海翔药业","C27","医药制造业","2006-12-31"
"6342","002099","2018-12-31","1","1","S5204","截至报告期末累计获得",NA,"45",NA,"海翔药业","C27","医药制造业","2006-12-31"
"6383","002102","2019-12-31","1","1","S5204","截至报告期末累计获得","96","7","38","冠福股份","C27","医药制造业","2016-12-31"
"6385","002102","2023-12-31","1","1","S5204","截至报告期末累计获得","43","10","33","冠福股份","C27","医药制造业","2016-12-31"
"6387","002102","2022-12-31","1","1","S5204","截至报告期末累计获得","39","7","32","冠福股份","C27","医药制造业","2016-12-31"
"6393","002102","2020-12-31","1","1","S5204","截至报告期末累计获得","96","7","38","冠福股份","C27","医药制造业","2016-12-31"
"6397","002102","2021-12-31","1","1","S5204","截至报告期末累计获得","114","7","56","冠福股份","C27","医药制造业","2016-12-31"
"6479","002107","2023-12-31","2","1","S5204","截至报告期末累计获得",NA,"31",NA,"沃华医药","C27","医药制造业","2007-12-31"
"6480","002107","2021-12-31","2","1","S5204","截至报告期末累计获得",NA,"26",NA,"沃华医药","C27","医药制造业","2007-12-31"
"6481","002107","2022-12-31","1","1","S5204","截至报告期末累计获得",NA,"40",NA,"沃华医药","C27","医药制造业","2007-12-31"
"6483","002107","2017-12-31","1","1","S5203","已授权","3",NA,NA,"沃华医药","C27","医药制造业","2007-12-31"
